Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
142,ADTH,Communication Services,Advertising Agencies,NASDAQ,177.89,97,97,34,16
143,TALK,Healthcare,Medical Care Facilities,NASDAQ,177.23,97,98,99,97
144,REAX,Real Estate,Real Estate Services,NASDAQ,177.07,97,98,36,88
145,MAX,Communication Services,Internet Content & Information,NYSE,176.96,97,91,73,20
146,CLRB,Healthcare,Biotechnology,NASDAQ,176.94,97,98,91,75
147,IBRX,Healthcare,Biotechnology,NASDAQ,176.58,97,83,99,7
148,AMAM,Healthcare,Biotechnology,NASDAQ,176.45,97,98,31,23
149,FATE,Healthcare,Biotechnology,NASDAQ,176.29,97,97,10,2
150,HA,Industrials,Airlines,NASDAQ,176.11,97,98,96,14
151,TNGX,Healthcare,Biotechnology,NASDAQ,176.05,97,99,94,98
152,ZENV,Technology,Software—Infrastructure,NASDAQ,175.97,97,70,53,58
153,SANA,Healthcare,Biotechnology,NASDAQ,175.97,97,90,25,71
154,JMIA,Consumer Cyclical,Internet Retail,NYSE,175.86,97,40,74,16
155,BITF,Financial Services,Capital Markets,NASDAQ,175.75,97,97,99,88
156,GRPN,Communication Services,Internet Content & Information,NASDAQ,175.07,97,97,96,98
157,LMB,Industrials,Engineering & Construction,NASDAQ,174.97,97,98,99,99
158,MPU,Industrials,Rental & Leasing Services,NYSE MKT,174.63,97,99,89,7
159,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,174.47,97,98,99,91
160,ANNX,Healthcare,Biotechnology,NASDAQ,174.16,97,78,20,8
161,CNTA,Healthcare,Biotechnology,NASDAQ,173.84,97,91,94,96
162,KAMN,Industrials,Aerospace & Defense,NYSE,173.52,97,98,48,27
163,PRFX,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,173.21,97,97,99,99
164,YRD,Financial Services,Credit Services,NYSE,172.86,97,97,95,94
165,COYA,Healthcare,Biotechnology,NASDAQ,172.5,97,89,96,68
166,TAST,Consumer Cyclical,Restaurants,NASDAQ,171.81,97,98,99,99
167,SPIR,Industrials,Specialty Business Services,NYSE,171.37,97,91,26,21
168,ADVM,Healthcare,Biotechnology,NASDAQ,171.24,97,93,22,97
169,XPO,Industrials,Integrated Freight & Logistics,NYSE,170.22,97,95,98,98
170,CAMT,Technology,Semiconductor Equipment & Materials,NASDAQ,169.99,97,98,98,99
171,SCTL,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,169.91,97,13,7,5
172,IPX,Basic Materials,Other Industrial Metals & Mining,NASDAQ,168.69,97,95,91,96
173,OPXS,Industrials,Aerospace & Defense,NASDAQ,168.69,97,96,91,89
174,TCRX,Healthcare,Biotechnology,NASDAQ,168.43,97,98,99,51
175,VST,Utilities,Utilities—Independent Power Producers,NYSE,168.32,97,94,93,93
176,ATXS,Healthcare,Biotechnology,NASDAQ,168.15,97,96,6,20
177,PXLW,Technology,Semiconductors,NASDAQ,168.03,97,89,18,18
178,ATHA,Healthcare,Biotechnology,NASDAQ,167.95,97,88,14,13
179,KURA,Healthcare,Biotechnology,NASDAQ,166.97,97,98,37,19
180,STRL,Industrials,Engineering & Construction,NASDAQ,166.08,97,93,91,99
181,ASPN,Industrials,Building Products & Equipment,NYSE,165.18,97,87,92,14
182,ELF,Consumer Defensive,Household & Personal Products,NYSE,164.97,97,97,94,99
183,NOTV,Healthcare,Diagnostics & Research,NASDAQ,164.25,97,67,12,7
184,AUTL,Healthcare,Biotechnology,NASDAQ,163.88,97,98,95,80
185,VIRC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,163.84,97,98,97,88
186,SVRE,Technology,Scientific & Technical Instruments,NASDAQ,163.79,96,94,3,14
187,SKYH,Industrials,Aerospace & Defense,NYSE MKT,163.17,96,98,99,50
188,IPSC,Healthcare,Biotechnology,NASDAQ,162.3,96,96,6,6
189,ADAP,Healthcare,Biotechnology,NASDAQ,162.28,96,83,9,10
190,LIAN,Healthcare,Biotechnology,NASDAQ,161.97,96,94,99,28
191,AMD,Technology,Semiconductors,NASDAQ,161.86,96,96,89,79
192,DFH,Consumer Cyclical,Residential Construction,NYSE,161.7,96,96,97,98
193,AMSC,Industrials,Specialty Industrial Machinery,NASDAQ,161.5,96,97,98,97
194,OLMA,Healthcare,Biotechnology,NASDAQ,161.3,96,97,99,99
195,RNA,Healthcare,Biotechnology,NASDAQ,161.2,96,93,21,5
196,ADSE,Industrials,Electrical Equipment & Parts,NASDAQ,160.65,96,96,93,96
197,DERM,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,160.57,96,98,99,96
198,IESC,Industrials,Engineering & Construction,NASDAQ,160.5,96,95,94,97
199,BDTX,Healthcare,Biotechnology,NASDAQ,160.36,96,98,51,98
200,ZIMV,Healthcare,Medical Devices,NASDAQ,159.88,96,97,87,86
201,BLZE,Technology,Software—Infrastructure,NASDAQ,159.81,96,94,93,94
202,CRNX,Healthcare,Biotechnology,NASDAQ,159.8,96,95,98,92
203,ORN,Industrials,Engineering & Construction,NYSE,159.68,96,96,94,98
204,TREE,Financial Services,Financial Conglomerates,NASDAQ,159.02,96,94,37,12
205,GAU,Basic Materials,Gold,NYSE MKT,158.81,96,94,80,83
206,CREX,Technology,Software—Application,NASDAQ,158.76,96,91,45,17
207,SKYW,Industrials,Airlines,NASDAQ,158.74,96,96,98,98
208,CELH,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,158.37,96,85,84,97
209,WING,Consumer Cyclical,Restaurants,NASDAQ,157.99,96,94,95,52
210,BVN,Basic Materials,Other Precious Metals & Mining,NYSE,157.95,96,97,85,83
